paper_title,material,method,metric_value,unit,condition,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons
"A COLIBRI Photometric Study of SN 2025bvm: A Normal, Slowly Declining Type Ia Supernova",Supplementary materials not provided; analysis based on observational data from COLIBRI telescope.,Photometric analysis using COLIBRI telescope observations in B and g′ bands; light curve fitting performed via standard methods for Type Ia supernovae.,0.867,mag,∆𝑚15(B) = 0.867 ± 0.051 mag,dyn_e8e9546dd8,other_required_fields,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,3,3.1. LightCurvesandPhotometricParameters,results,3.0,3.0,We find a value of ∆𝑚15(𝐵)=0.867±0.051 mag. This measurement and its covariance with the peak time and magnitude are illustrated in the corner plot in Figure 3.,0.95,,
ZTF SN Ia DR2: Towards cosmology-grade ZTF supernova light curves using scene modeling photometry,Supplementary materials and data processing pipeline documentation for the ZTF SN Ia DR2 dataset,"Scene Modeling Photometry (SMP) pipeline, which models SN + host galaxy flux as sum of PSF and galaxy model convolved with ad-hoc kernel to account for seeing variations",Not applicable - this section does not report specific metric values such as peak magnitude or decay rate,Not applicable,Analysis based on current implementation of scene modeling fluxes; sensor effect causing flux-dependent PSF variations prevents release of scene modeling light curves,dyn_17fc3806b5,other_required_fields,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,3,ABSTRACT,abstract,3.0,3.0,"The core of the method being developed for ZTF is an algorithm known as scene-modeling (Astier et al. 2013; Holtzman et al. 2008), which consists of modeling the SN +host galaxy flux profile as the sum of a PSF (trained on each exposure) and a galaxy model common to all exposures, convolved with an ad-hoc kernel to account for the seeing variations.",0.95,,
An Investigation of 56Ni Shells as the Source of Early Light Curve Bumps in Type Ia Supernovae,Supplementary material not available; analysis based on model simulations and observational data from g and Kepler bands,Modeling of 56Ni shell mass and distribution to reproduce early light curve bumps,0.03,M⊙,Narrow shell (σ = 0.06 M⊙) with 0.03 M⊙ mass,dyn_0ad5501289,other_required_fields,arxiv_2007_02101v2_an_investigation_of_56_ni_shells_as_the_source_of_early_light_curve_bumps_in_typ.pdf,pdf_text,7,4.1. SN2018oh,results,7.0,7.0,"cess of SN 2018oh is between 0.02 – 0.03 M⊙. This is consistent with the value found by Dimitriadis et al. (2019), although we note that differences in the total 56Ni mass and distribution, and density profile compared to our models likely accounts for differences in the overall light curve shapes.",0.9,,
Carnegie Supernova Project: Fast Declining Type Ia Supernovae as Cosmological Probes,Supplementary material and data tables from the Carnegie Supernova Project,Photometric analysis of supernova light curves using CSP filters,30,number of SNe,Filter: u,dyn_ddc7e42838,other_required_fields,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: u, HubbleFlowSNeIaa: 30, IRSBFCalibratorsb: 8",0.9,,
Carnegie Supernova Project: Fast Declining Type Ia Supernovae as Cosmological Probes,Supplementary material and data tables from the Carnegie Supernova Project,Photometric analysis of supernova light curves using CSP filters,43,number of SNe,Filter: B,dyn_68e6d44429,other_required_fields,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: B, HubbleFlowSNeIaa: 43, IRSBFCalibratorsb: 12",0.9,,
Carnegie Supernova Project: Fast Declining Type Ia Supernovae as Cosmological Probes,Supplementary material and data tables from the Carnegie Supernova Project,Photometric analysis of supernova light curves using CSP filters,36,number of SNe,Filter: g,dyn_c8ed2cdfc2,other_required_fields,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: g, HubbleFlowSNeIaa: 36, IRSBFCalibratorsb: 7",0.9,,
Carnegie Supernova Project: Fast Declining Type Ia Supernovae as Cosmological Probes,Supplementary material and data tables from the Carnegie Supernova Project,Photometric analysis of supernova light curves using CSP filters,43,number of SNe,Filter: V,dyn_94b82d2826,other_required_fields,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: V, HubbleFlowSNeIaa: 43, IRSBFCalibratorsb: 12",0.9,,
Carnegie Supernova Project: Fast Declining Type Ia Supernovae as Cosmological Probes,Supplementary material and data tables from the Carnegie Supernova Project,Photometric analysis of supernova light curves using CSP filters,43,number of SNe,Filter: r,dyn_c916d62c55,other_required_fields,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: r, HubbleFlowSNeIaa: 43, IRSBFCalibratorsb: 10",0.9,,
Carnegie Supernova Project: Fast Declining Type Ia Supernovae as Cosmological Probes,Supplementary material and data tables from the Carnegie Supernova Project,Photometric analysis of supernova light curves using CSP filters,42,number of SNe,Filter: i,dyn_67dd799b18,other_required_fields,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: i, HubbleFlowSNeIaa: 42, IRSBFCalibratorsb: 10",0.9,,
Carnegie Supernova Project: Fast Declining Type Ia Supernovae as Cosmological Probes,Supplementary material and data tables from the Carnegie Supernova Project,Photometric analysis of supernova light curves using CSP filters,36,number of SNe,Filter: Y,dyn_6a2eeb9380,other_required_fields,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: Y, HubbleFlowSNeIaa: 36, IRSBFCalibratorsb: 7",0.9,,
Carnegie Supernova Project: Fast Declining Type Ia Supernovae as Cosmological Probes,Supplementary material and data tables from the Carnegie Supernova Project,Photometric analysis of supernova light curves using CSP filters,35,number of SNe,Filter: J,dyn_edc53ba3a0,other_required_fields,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: J, HubbleFlowSNeIaa: 35, IRSBFCalibratorsb: 9",0.9,,
Carnegie Supernova Project: Fast Declining Type Ia Supernovae as Cosmological Probes,Supplementary material and data tables from the Carnegie Supernova Project,Photometric analysis of supernova light curves using CSP filters,29,number of SNe,Filter: H,dyn_16cb73c0fa,other_required_fields,arxiv_2509_07093v3_carnegie_supernova_project_fast_declining_type_ia_supernovae_as_cosmological_dis.pdf,pdf_table,7,,,,,"Filter: H, HubbleFlowSNeIaa: 29, IRSBFCalibratorsb: 9",0.9,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog,Data filtering and quality assessment pipeline,1273312,measurements,initial sample,dyn_281799fdd6,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,2,,,,,"Condition: initial sample, Measurements: 1273312, Supernovae: 22528",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog,Data filtering and quality assessment pipeline,14468,supernovae,contains photometry data,dyn_db650d72b8,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,2,,,,,"Condition: contains photometry data, Measurements: 1273312, Supernovae: 14468",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog,Data filtering and quality assessment pipeline,14460,supernovae,pass quality cuts,dyn_4ffba34456,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,2,,,,,"Condition: pass quality cuts, Measurements: 1273185, Supernovae: 14460",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog,Data filtering and quality assessment pipeline,9456,supernovae,has host information,dyn_ca66bed76f,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,2,,,,,"Condition: has host information, Measurements: 954824, Supernovae: 9456",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog,Data filtering and quality assessment pipeline,8617,supernovae,with considered filters,dyn_998f05f7b4,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,2,,,,,"Condition: with considered filters, Measurements: 877630, Supernovae: 8617",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,Open Supernova Catalog,Data filtering and quality assessment pipeline,5142,supernovae,with at least 25 measurements,dyn_572bc23423,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,2,,,,,"Condition: with at least 25 measurements, Measurements: 855613, Supernovae: 5142",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,pdf_table_6cf9cd8d,Table analysis from page 4 of arXiv:2401.06087v1,,,,dyn_ce77ce83ae,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,4,,,,,"column_1: others, column_2: 91T
subt, column_3: 91bg
ype, column_4: 02cx",0.0,required dynamic field missing: metric_value; required dynamic field missing: unit; required dynamic field missing: condition; record contains extraction warnings that require review; record confidence is below the review threshold; evidence text not found on recorded PDF page,record contains extraction warnings that require review; record confidence is below the review threshold
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,pdf_table,data extraction from table,2,count,column_1,dyn_964195b07f,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,2,0.5,evidence text not found on recorded PDF page,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,pdf_table,data extraction from table,1,count,column_2,dyn_045c05e470,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,1,0.5,evidence text not found on recorded PDF page,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,pdf_table,data extraction from table,0,count,column_3,dyn_85d1538fe4,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,0,0.5,evidence text not found on recorded PDF page,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,pdf_table,data extraction from table,,,,dyn_38519c2864,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,"Table ID: pdf_table_237080e2, Rows: 3, Columns: 3, Values: [1002, 1, 0], [0, 3709, 0], [0, 0, 1802]",0.0,required dynamic field missing: metric_value; required dynamic field missing: unit; required dynamic field missing: condition; record contains extraction warnings that require review; record confidence is below the review threshold; evidence text not found on recorded PDF page,record contains extraction warnings that require review; record confidence is below the review threshold
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,"Test Set, Combined Set",Machine learning classification model evaluation,0.928571,accuracy,Test Set,dyn_f32462b9ca,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,"Accuracy, Test Set: 0.928571",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,"Test Set, Combined Set",Machine learning classification model evaluation,0.935714,precision,Test Set,dyn_ddc3ac37f6,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,"Precision, Test Set: 0.935714",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,"Test Set, Combined Set",Machine learning classification model evaluation,0.928571,recall,Test Set,dyn_743780692d,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,"Recall, Test Set: 0.928571",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,"Test Set, Combined Set",Machine learning classification model evaluation,0.923308,F1 Score,Test Set,dyn_624ff88822,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,"F1 Score, Test Set: 0.923308",0.95,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,"Test Set, Combined Set",Machine learning classification model evaluation,0.999846,accuracy,Combined Set,dyn_c43a664c56,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,"Accuracy, Combined Set: 0.999846",0.99,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,"Test Set, Combined Set",Machine learning classification model evaluation,0.999847,precision,Combined Set,dyn_99640bc55b,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,"Precision, Combined Set: 0.999847",0.99,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,"Test Set, Combined Set",Machine learning classification model evaluation,0.999846,recall,Combined Set,dyn_7ba070de5d,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,"Recall, Combined Set: 0.999846",0.99,,
Probing the Diversity of Type Ia Supernova Light Curves in the Open Supernova Catalog,"Test Set, Combined Set",Machine learning classification model evaluation,0.999846,F1 Score,Combined Set,dyn_31b5abf37b,other_required_fields,arxiv_2401_06087v1_probing_the_diversity_of_type_ia_supernova_light_curves_in_the_open_supernova_ca.pdf,pdf_table,8,,,,,"F1 Score, Combined Set: 0.999846",0.99,,
,,,,,,dyn_c135329bd1,other_required_fields,arxiv_2607_20599v1_semi_analytical_light_curve_model_for_transients_preceding_binary_mergers_i_supe.pdf,pdf_table,8,,,,,30M (\n+ 10M\nH-rich)\nBH\nf\n=0.9\nL2,0.0,required dynamic field missing: paper_title; required dynamic field missing: material; required dynamic field missing: method; required dynamic field missing: metric_value; required dynamic field missing: unit; required dynamic field missing: condition; record contains extraction warnings that require review; record confidence is below the review threshold; evidence text not found on recorded PDF page,record contains extraction warnings that require review; record confidence is below the review threshold
,,,,,,dyn_f6c7abc5d6,other_required_fields,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_table,6,,,,,"The table contains fragmented text and non-structured data with no clear scientific metrics or extractable values related to peak magnitude, decay rate, progenitor models, host galaxy type, observation telescope, filter band, redshift, or light curve fitting parameters. The content appears corrupted or improperly rendered.",0.0,Input content is non-structured and contains only fragmented characters; no valid scientific data can be extracted.; required dynamic field missing: paper_title; required dynamic field missing: material; required dynamic field missing: method; required dynamic field missing: metric_value; required dynamic field missing: unit; required dynamic field missing: condition; record contains extraction warnings that require review; record confidence is below the review threshold; evidence text not found on recorded PDF page,record contains extraction warnings that require review; record confidence is below the review threshold
