title,authors,publication_date,venue,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons,supernova_name,redshift,peak_magnitude,filter_band,decay_rate,observation_telescope,host_galaxy_type,fit_method,fit_parameters,residual_std_dev,chi_squared,progenitor_model,paper_title,material,method,metric_value,unit,condition,metric_name,source_1,value_1,source_2,value_2,discrepancy_reason
Semi-analytical Light Curve Model for Transients Preceding Binary Mergers. I: Supernova Precursor Emission from Compact Object Companions,"['Daichi Tsuna', 'Morgan Macleod', 'V. Ashley Villar']",2026-07-22,arXiv:2607.20599v1,dyn_9779bec6a8,paper_metadata,arxiv_2607_20599v1_semi_analytical_light_curve_model_for_transients_preceding_binary_mergers_i_supe.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2607.20599v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Type Ia Supernova Light Curve Inference: Hierarchical Models in the Optical and Near Infrared,"['Kaisey S. Mandel', 'Gautham Narayan', 'Robert P. Kirshner']",2010-11-26,arXiv:1011.5910v3,dyn_d7800917d5,paper_metadata,arxiv_1011_5910v3_type_ia_supernova_light_curve_inference_hierarchical_models_in_the_optical_and_n.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1011.5910v3,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Light curves for off-centre ignition models of type Ia supernovae,"['S. A. Sim', 'D. N. Sauer', 'F. K. Röpke', 'W. Hillebrandt']",2007-03-29,arXiv:0703764v1,dyn_66e89f06fb,paper_metadata,arxiv_0703764v1_light_curves_for_off_centre_ignition_models_of_type_ia_supernovae.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/0703764v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Early Time Light Curves of Type Ia Supernovae Observed with TESS,"['M. M. Fausnaugh', 'P. J. Vallely', 'C. S. Kochanek', 'B. J. Shappee', 'K. Z. Stanek', 'M. A. Tucker', 'George R. Ricker', 'Roland Vanderspek', 'David W. Latham', 'S. Seager', 'Joshua N. Winn', 'Jon M. Jenkins', 'Tansu Daylan', 'John P. Doty', 'Gaabor Furesz', 'Alan M. Levine', 'Robert Morris', 'Andras Pal', 'Lizhou Sha', 'Eric B. Ting', 'Bill Wohler']",2019-04-03,arXiv:1904.02171v2,dyn_b176dc2f80,paper_metadata,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1904.02171v2,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF SN Ia DR2: Overview,"['Mickael Rigault', 'Mathew Smith', 'Ariel Goobar', 'Kate Maguire', 'Georgios Dimitriadis', 'Umut Burgaz', 'Suhail Dhawan', 'Jesper Sollerman', 'Nicolas Regnault', 'Marek Kowalski', 'Melissa Amenouche', 'Marie Aubert', 'Chloé Barjou-Delayre', 'Julian Bautista', 'Josh S. Bloom', 'Bastien Carreres', 'Tracy X. Chen', 'Yannick Copin', 'Maxime Deckers', 'Dominique Fouchez', 'Christoffer Fremling', 'Lluis Galbany', 'Madeleine Ginolin', 'Matthew Graham', 'Mancy M. Kasliwal', ""W. D'Arcy Kenworthy"", 'Young-Lo Kim', 'Dylan Kuhn', 'Frank F. Masci', 'Tomas Müller-Bravo', 'Adam Miller', 'Joel Johansson', 'Jakob Nordin', 'Peter Nugent', 'Igor Andreoni', 'Eric Bellm', 'Marc Betoule', 'Mahmoud Osman', 'Dan Perley', 'Brodie Popovic', 'Philippe Rosnet', 'Damiano Rosselli', 'Florian Ruppin', 'Robert Senzel', 'Ben Rusholme', 'Tassilo Schweyer', 'Jacco H. Terwel', 'Alice Townsend', 'Andy Tzanidakis', 'Avery Wold', 'Josiah Purdum', 'Yu-Jing Qin', 'Benjamin Racine', 'Simeon Reusch', 'Reed Riddle', 'Lin Yan']",2024-09-06,arXiv:2409.04346v2,dyn_e61f0344bb,paper_metadata,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/2409.04346v2,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
The Hubble Space Telescope Cluster Supernova Survey: II. The Type Ia Supernova Rate in High-Redshift Galaxy Clusters,"['K. Barbary', 'G. Aldering', 'R. Amanullah', 'M. Brodwin', 'N. Connolly', 'K. S. Dawson', 'M. Doi', 'P. Eisenhardt', 'L. Faccioli', 'V. Fadeyev', 'H. K. Fakhouri', 'A. S. Fruchter', 'D. G. Gilbank', 'M. D. Gladders', 'G. Goldhaber', 'A. Goobar', 'T. Hattori', 'E. Hsiao', 'X. Huang', 'Y. Ihara', 'N. Kashikawa', 'B. Koester', 'K. Konishi', 'M. Kowalski', 'C. Lidman', 'L. Lubin', 'J. Meyers', 'T. Morokuma', 'T. Oda', 'N. Panagia', 'S. Perlmutter', 'M. Postman', 'P. Ripoche', 'P. Rosati', 'D. Rubin', 'D. J. Schlegel', 'A. L. Spadafora', 'S. A. Stanford', 'M. Strovink', 'N. Suzuki', 'N. Takanashi', 'K. Tokita', 'N. Yasuda']",2010-10-27,arXiv:1010.5786v3,dyn_cf6900266b,paper_metadata,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/1010.5786v3,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
Nebular velocities in type Ia Supernovae and their relationship to light curves,"['P. A. Mazzali', 'E. Cappellaro', 'I. J. Danziger', 'M. Turatto', 'S. Benetti']",1998-03-19,arXiv:9803229v1,dyn_0bd7464322,paper_metadata,arxiv_9803229v1_nebular_velocities_in_type_ia_supernovae_and_their_relationship_to_light_curves.pdf,pdf_text,,,,,,arXiv metadata: http://arxiv.org/abs/astro-ph/9803229v1,0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,dyn_c16cf1c06e,light_curve_metrics,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,2.0,3.1. Light Curves and Photometric Parameters,results,2.0,2.0,"The object’s brightest observed peak is in the r′-band, with an apparent magnitude of 𝑚 𝑟 ≈15.8 mag.",0.95,required dynamic field missing: redshift; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 2025bvm,,15.8,r′,,,,,,,,,,,,,,,,,,,,
,,,,dyn_38c9c0f119,light_curve_fits,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,2.0,3.1. Light Curves and Photometric Parameters,results,2.0,2.0,"These methods fit the light curves using empirical models that describe the evolution of the spectral energy distribution (SED) of a Type Ia supernova. By fitting these models to the multi-band photometric data, a robust and simultaneous estimation of the peak magnitude (𝑚max), the time of maximum light (𝑡max), and the light-curve shape parameters is obtained.",0.9,,,SN 2025bvm,,,,,,,SALT2,"['mmax=15.8', 'tmax=+0 days', 'stretch=1.0']",,,,,,,,,,,,,,,
,,,,dyn_f8cd3233f2,progenitor_evidence,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,2.0,3.1. Light Curves and Photometric Parameters,results,2.0,2.0,"The shape of the light curves is characteristic of a Type Ia supernova (e.g., Filippenko, 1997). In particular, as shown in Figure 2, the light curves of SN 2025bvm provide a clear frame of reference by showing distinctive features of normal Type Ia supernovae.",0.8,,,SN 2025bvm,,,,,,,,,,,no clear evidence,,,,,,,,,,,,
,,,,dyn_45966ff6c1,other_required_fields,arxiv_2601_07745v2_a_colibri_photometric_study_of_sn_2025bvm_a_normal_slowly_declining_type_ia_supe.pdf,pdf_text,2.0,3.1. Light Curves and Photometric Parameters,results,2.0,2.0,"The object’s brightest observed peak is in the r′-band, with an apparent magnitude of 𝑚 𝑟 ≈15.8 mag.",0.95,,,,,,,,,,,,,,,A Colibri Photometric Study of SN 2025bvm: A Normal Slowly Declining Type Ia Supernova,multi-band optical light curves from Figure 2,SNooPy2 and SALT2 via sncosmo,15.8,mag,r′-band peak magnitude,,,,,,
,,,,dyn_01252665af,light_curve_metrics,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3.0,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3.0,3.0,This paper is one of a series of ten papers that report supernova results from the HST Cluster Supernova Survey,0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,Hubble Space Telescope,,,,,,,,,,,,,,,,,,
,,,,dyn_58995362c2,progenitor_evidence,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3.0,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3.0,3.0,"Cluster SNe Ia can also be used to trace the diffuse intracluster stellar component. Intracluster stars, bound to the cluster potential rather than individual galaxies, have been found to account for anywhere from 5% to 50% of the stellar mass in clusters (e.g., Ferguson et al. 1998; Feldmeier et al. 1998; Gonzalez et al. 2000; Feldmeier et al. 2004; Lin & Mohr 2004; Zibetti et al. 2005; Gonzalez et al. 2005; Krick et al. 2006; Mihos et al. 2005). The use of SNe Ia as tracers of this component was first demonstrated by Gal-Yam et al. (2003) who found two likely host-less SNe Ia out of a total of seven cluster SNe Ia in 0.06 < z < 0.19 Abell clusters.",0.9,required dynamic field missing: supernova_name; required dynamic field missing: progenitor_model; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,,,,,,,,,,,,,,,,,
,,,,dyn_056fb07717,cross_survey_comparisons,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3.0,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3.0,3.0,"In this paper, we calculate the SN Ia rate in 0.9 < z < 1.46 clusters observed in the HST Cluster Supernova Survey. We address the host-less SN Ia fraction, and use our result to place constraints on the late-time DTD in clusters.",0.85,required dynamic field missing: supernova_name; required dynamic field missing: metric_name; required dynamic field missing: source_1; required dynamic field missing: value_1; required dynamic field missing: source_2; required dynamic field missing: value_2; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,,,,,,,,,,,,,,,,,
,,,,dyn_630909275c,other_required_fields,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3.0,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3.0,3.0,"This paper is one of a series of ten papers that report supernova results from the HST Cluster Supernova Survey. In this paper, we calculate the SN Ia rate in 0.9 < z < 1.46 clusters observed in the HST Cluster Supernova Survey.",0.5,required dynamic field missing: metric_value; required dynamic field missing: unit; record contains extraction warnings that require review; evidence text not found on recorded PDF page,record contains extraction warnings that require review,,,,,,,,,,,,,The Hubble Space Telescope Cluster Supernova Survey II: The Type Ia Supernova Rate,HST Cluster Supernova Survey,rate calculation based on supernova selection and efficiency studies,,,0.9 < z < 1.46 clusters,,,,,,
,,,,dyn_15bd95f205,light_curve_fits,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3.0,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3.0,3.0,"The details of the HST Cluster SN Survey are described in Dawson09. Here, we briefly summarize the survey and highlight the details relevant to the rate calculation. The survey targeted 25 massive galaxy clusters in a rolling search between July 2005 and December 2006. Clusters were selected from X-ray, optical and IR surveys and cover the redshift range 0.9 < z < 1.46.",0.85,required dynamic field missing: supernova_name; required dynamic field missing: fit_method; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,,,,,,,,,,,,,,,,,
,,,,dyn_a739d338cd,other_required_fields,arxiv_1010_5786v3_the_hubble_space_telescope_cluster_supernova_survey_ii_the_type_ia_supernova_rat.pdf,pdf_text,3.0,TheSNIaRateinHigh-RedshiftGalaxyClusters 3,results,3.0,3.0,"The details of the HST Cluster SN Survey are described in Dawson09. Here, we briefly summarize the survey and highlight the details relevant to the rate calculation. The survey targeted 25 massive galaxy clusters in a rolling search between July 2005 and December 2006. Clusters were selected from X-ray, optical and IR surveys and cover the redshift range 0.9 < z < 1.46.",0.9,required dynamic field missing: metric_value; required dynamic field missing: unit; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,,,,,,The Hubble Space Telescope Cluster Supernova Survey II: The Type Ia Supernova Rate in High-Redshift Galaxy Clusters,HST Cluster SN Survey program,Rolling search targeting 25 massive galaxy clusters between July 2005 and December 2006,,,"Redshift range 0.9 < z < 1.46; clusters selected from X-ray, optical and IR surveys",,,,,,
,,,,dyn_48b09d8cd4,light_curve_metrics,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8.0,BJD - 2457000,results,8.0,8.0,"For SN2018fhw, we found better results using FFIs without Gaussian smoothing in the image subtraction (see §3). A detailed discussion of detrending for SN2018fhw is given by Vallely et al. (2019, see their Figures 3 and 5).",0.7,"Redshift, peak magnitude, filter band, decay rate, and host galaxy type not reported in this section; only observation telescope (TESS) is explicitly mentioned.; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review",record contains extraction warnings that require review,SN2018fhw,,,,,TESS,,,,,,,,,,,,,,,,,,
,,,,dyn_5693da9e84,light_curve_metrics,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8.0,BJD - 2457000,results,8.0,8.0,"For SN2018hss, a bright star is extremely close to the SN in the image",0.7,"Redshift, peak magnitude, filter band, decay rate, and host galaxy type not reported in this section; only observation telescope (TESS) is explicitly mentioned.; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review",record contains extraction warnings that require review,SN2018hss,,,,,TESS,,,,,,,,,,,,,,,,,,
,,,,dyn_c3e71eb14a,progenitor_evidence,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8.0,BJD - 2457000,results,8.0,8.0,"For SN2018fhw, we found better results using FFIs without Gaussian smoothing in the image subtraction (see §3). A detailed discussion of detrending for SN2018fhw is given by Vallely et al. (2019, see their Figures 3 and 5).",0.6,,,SN2018fhw,,,,,,,,,,,no clear evidence,,,,,,,,,,,,
,,,,dyn_98614080c8,progenitor_evidence,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8.0,BJD - 2457000,results,8.0,8.0,"For SN2018hss, a bright star is extremely close to the SN in the image",0.6,,,SN2018hss,,,,,,,,,,,no clear evidence,,,,,,,,,,,,
,,,,dyn_11f076c81e,light_curve_fits,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8.0,BJD - 2457000,results,8.0,8.0,"Figure 2. Power law fit, residuals, and local background estimates for SN2018fhw near the time of first light. The small points are the individual 30 minute FFI exposures, and the larger circles are averages over eight hours. All units are flux relative to peak.",0.8,"Fit parameters and goodness-of-fit metrics (residual std dev, chi-squared) not quantified in text; inferred from figure description.; record contains extraction warnings that require review",record contains extraction warnings that require review,SN2018fhw,,,,,,,Power law fit,['power law exponent'],,,,,,,,,,,,,,,
,,,,dyn_ff3fdb6b66,light_curve_fits,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8.0,BJD - 2457000,results,8.0,8.0,"For SN2018hss, a bright star is extremely close to the SN in the image",0.5,"No information on fitting method, parameters, or fit quality provided; only mention of contamination issue.; record contains extraction warnings that require review; record confidence is below the review threshold",record contains extraction warnings that require review; record confidence is below the review threshold,SN2018hss,,,,,,,not specified,,,,,,,,,,,,,,,,
,,,,dyn_8ea8c4fb95,other_required_fields,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8.0,BJD - 2457000,results,8.0,8.0,"We were able to remove the main effects of these residuals by (1) extracting light curves of the contaminating stars, (2) smoothing with a median ﬁlter, and (3) ﬁtting a shift and scale factor to the affected parts of the SNe light curves. We then subtracted the scaled and smoothed star light curve from the SN light curve. The light curves of the contaminating star, the smoothed model, the ﬁt to the SN light curve, and the corrected SN light curve are shown in Appendix B for all affected sources.",0.9,,,,,,,,,,,,,,,Early Time Light Curves of Type Ia Supernovae Observed with TESS,Appendix B,"Detrending via contaminating star light curve extraction, median filtering, and scaling/shift fitting",flux relative to peak,relative,Near bright star causing residual contamination in difference images,,,,,,
,,,,dyn_cf46b7d30b,light_curve_fits,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8.0,BJD - 2457000,results,8.0,8.0,"We begin by parameterizing the light curves with a rising power law fit of the form F(t) = H(t −t0)A(t −t0)β + B (1) where t0 is the time of the first detection, A, B and β are constants, and H(t) is the Heaviside function.",0.85,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,power law,"['A', 'B', 'β', 't0']",,,,,,,,,,,,,,,
,,,,dyn_ff7b090898,other_required_fields,arxiv_1904_02171v2_early_time_light_curves_of_type_ia_supernovae_observed_with_tess.pdf,pdf_text,8.0,BJD - 2457000,results,8.0,8.0,"We constrain β to be between 0.5 and 4.0, and we require that A be greater than 0. Following Olling et al. (2015), we only fit the light curves up to 40% of the peak flux. We estimate the uncertainties on fitted parameters with 1000 iterations of bootstrap resampling of the light curves, and report",0.9,,,,,,,,,,,,,,,Early-time Light Curves of Type Ia Supernovae Observed with TESS,Appendix A,bootstrap resampling,β,dimensionless,fitted between 0.5 and 4.0,,,,,,
,,,,dyn_dd02ecff92,light_curve_fits,arxiv_1402_6842v1_type_ia_supernova_bolometric_light_curves_and_ejected_mass_estimates_from_the_ne.pdf,pdf_text,7.0,4 MODELING,method,7.0,7.0,"We verify that convergence has been reached by comparing runs of different lengths. In general we find a “burn-in” period of 1500 iterations, which are then discarded, suffices to remove dependence on the initial conditions. Our results are then obtained by sampling for an additional 1500 × k iterations, recording every kth iteration where k is the autocorrelation time in iterations of the chain. Our final probability distributions contain about 3 × 10⁵ samples over all parameter configurations for each SN.",0.5,required dynamic field missing: supernova_name; record contains extraction warnings that require review; evidence text not found on recorded PDF page,record contains extraction warnings that require review,,,,,,,,Markov Chain Monte Carlo (MCMC) with ensembles of walkers,"['burn-in period: 1500 iterations', 'sampling: 1500 × k iterations', 'recorded every kth iteration where k is the autocorrelation time', 'final probability distributions contain ~3 × 10⁵ samples']",,,,,,,,,,,,,,,
,,,,dyn_29a0e21d83,other_required_fields,arxiv_1402_6842v1_type_ia_supernova_bolometric_light_curves_and_ejected_mass_estimates_from_the_ne.pdf,pdf_text,7.0,4 MODELING,method,7.0,7.0,"We verify that convergence has been reached by comparing runs of different lengths. In general we find a “burn-in” period of 1500 iterations, which are then discarded, suffices to remove dependence on the initial conditions. Our results are then obtained by sampling for an additional 1500 × k iterations, recording every kth iteration where k is the autocorrelation time in iterations of the chain. Our final probability distributions contain about 3 × 10⁵ samples over all parameter configurations for each SN.",0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,Type Ia Supernova Bolometric Light Curves and Ejected Mass Estimates from the SNfactory,Supplementary modeling code and suite of contemporary SN Ia explosion models,Markov Chain Monte Carlo (MCMC) with ensembles of walkers using adaptive step sizes ('temperatures') and information sharing between chains,3 × 10⁵ samples over all parameter configurations,samples,Convergence verified via comparison of runs of different lengths; burn-in period of 1500 iterations discarded,,,,,,
,,,,dyn_99286be201,light_curve_metrics,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,4.0,2.2 SN photometry,method,4.0,4.0,"Our method is sensitive to variation in the data at very early times, i.e. very low flux levels, it is important to test for systematic effects. This was performed by averaging the points before the SN first light. Prior to the explosion, the flux level is consistent with 0, with no evidence of a systematic offset, as shown in figure 1.",0.85,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,,,,,,,,,,,,,,,,,
,,,,dyn_0b86510fb6,light_curve_fits,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,4.0,2.2 SN photometry,method,4.0,4.0,"We determine the light curve parameters for each SN Ia in our sample using the SiFTO light curve ﬁtter (Conley et al. 2008). SiFTO manipulates the properties of a time-series SN Ia spectral energy distribution (SED) in order to best ﬁt an observed light curve, returning the SN stretch ( s), the time of maximum light in the rest-frame B-band ( tmax), a peak magnitude, and a colour parameter c for SNe with data in more than one observed filter.",0.95,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,SiFTO,"['stretch=s', 'time of maximum light in the rest-frame B-band=tmax', 'peak magnitude', 'colour parameter=c']",,,,,,,,,,,,,,,
,,,,dyn_72fe6d2db5,other_required_fields,arxiv_1411_1064v1_the_rising_light_curves_of_type_ia_supernovae.pdf,pdf_text,4.0,2.2 SN photometry,method,4.0,4.0,"An example of the data used can be found in table 3, and the entire dataset is available in online supplemental material.",0.9,required dynamic field missing: metric_value; required dynamic field missing: unit; required dynamic field missing: condition; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,,,,,,The rising light curves of Type Ia supernovae,online supplemental material,SiFTO light curve fitter,,,,,,,,,
,,,,dyn_048af52736,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1990N 8082 . 46 ± 0. 35 0 . 990 ± 0. 034 20 . 01 ± 0. 46 4 . 04 ± 0. 74 (1 , 2)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 1990N,,,,0.99,,,,,,,,,,,,,,,,,,,
,,,,dyn_5f28f11624,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1994D 9432 . 29 ± 0. 14 1 . 344 ± 0. 021 15 . 39 ± 0. 47 2 . 04 ± 0. 53 (3 , 4)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 1994D,,,,1.344,,,,,,,,,,,,,,,,,,,
,,,,dyn_323ec65267,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1998aq 10931 . 04 ± 0. 14 1 . 042 ± 0. 021 17 . 52 ± 0. 58 2 . 03 ± 0. 64 (5 , 2)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 1998aq,,,,1.042,,,,,,,,,,,,,,,,,,,
,,,,dyn_7bdf8f7b7b,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2001el 12182 . 19 ± 0. 17 1 . 168 ± 0. 021 18 . 00 ± 0. 56 3 . 57 ± 0. 63 (6 , 7)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 2001el,,,,1.168,,,,,,,,,,,,,,,,,,,
,,,,dyn_767cd66954,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2002bo 12356 . 39 ± 0. 20 1 . 162 ± 0. 031 16 . 05 ± 0. 37 1 . 57 ± 0. 53 (8 , 9, 10)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 2002bo,,,,1.162,,,,,,,,,,,,,,,,,,,
,,,,dyn_5f3f4c9860,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2003du 12765 . 95 ± 0. 14 0 . 982 ± 0. 021 17 . 71 ± 0. 35 1 . 64 ± 0. 44 (11 , 12, 13, 14)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 2003du,,,,0.982,,,,,,,,,,,,,,,,,,,
,,,,dyn_101596b6b8,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2004eo 13278 . 65 ± 0. 14 1 . 403 ± 0. 037 16 . 64 ± 0. 44 3 . 86 ± 0. 53 (15 , 16)",0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 2004eo,,,,1.403,,,,,,,,,,,,,,,,,,,
,,,,dyn_4fd4b866d0,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,SN 2005cf 13533 . 78 ± 0. 14 1 . 068 ± 0. 021 16 . 62 ± 0. 25 1 . 35 ± 0. 36 (17),0.95,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 2005cf,,,,1.068,,,,,,,,,,,,,,,,,,,
,,,,dyn_b45cb9c81a,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"TABLE 1 Results of AQUAA light-curve fits. SN tBmax (JD − 2,440,000) ∆ m15 (mag) Rise time (rest-frame days) Rise time − fall time (rest-frame days) Photometry references SN 1990N 8082 . 46 ± 0. 35 0 . 990 ± 0. 034 20 . 01 ± 0. 46 4 . 04 ± 0. 74 (1 , 2)",0.9,,,SN 1990N,,,,,,,AQUAA,"['tBmax=8082.46', 'delta_m15=0.990']",,,,,,,,,,,,,,,
